fn,speed_m_s,speed_kn,wave_resistance_N,c_wave_resistance,quadrature_error,tail_fraction,cancellation_ratio,converged,validity_flags
0.1,1.01474048406,1.97249770121,64.6472261336,0.00383957995218,4.06653437846e-21,2.23499264106e-06,7468.18836741,True,B/L=0.39 exceeds 0.20; slender-body wave-resistance assumptions may be inaccurate;the offset grid represents only 90.2% of the metadata beam;max |dy/dx|=3.9 challenges thin-ship assumptions
0.125,1.26842560508,2.46562212651,107.488986795,0.00408580620417,4.50975486627e-21,8.42307378847e-07,7468.21231363,True,B/L=0.39 exceeds 0.20; slender-body wave-resistance assumptions may be inaccurate;the offset grid represents only 90.2% of the metadata beam;max |dy/dx|=3.9 challenges thin-ship assumptions
0.15,1.5221107261,2.95874655181,192.235971024,0.00507441471765,6.04805938051e-21,6.38457498001e-06,7467.96039147,True,B/L=0.39 exceeds 0.20; slender-body wave-resistance assumptions may be inaccurate;the offset grid represents only 90.2% of the metadata beam;max |dy/dx|=3.9 challenges thin-ship assumptions
0.175,1.77579584711,3.45187097711,264.535496783,0.00513028721285,6.50467583918e-21,3.99706948468e-06,7468.03870673,True,B/L=0.39 exceeds 0.20; slender-body wave-resistance assumptions may be inaccurate;the offset grid represents only 90.2% of the metadata beam;max |dy/dx|=3.9 challenges thin-ship assumptions
0.2,2.02948096813,3.94499540241,460.281051543,0.0068343454297,8.36666581942e-21,3.87123489415e-06,7468.10233367,True,B/L=0.39 exceeds 0.20; slender-body wave-resistance assumptions may be inaccurate;the offset grid represents only 90.2% of the metadata beam;max |dy/dx|=3.9 challenges thin-ship assumptions
0.225,2.28316608915,4.43811982771,522.349402543,0.00612815704667,8.1229994041e-21,4.22990541577e-06,7466.18835082,True,B/L=0.39 exceeds 0.20; slender-body wave-resistance assumptions may be inaccurate;the offset grid represents only 90.2% of the metadata beam;max |dy/dx|=3.9 challenges thin-ship assumptions
0.25,2.53685121016,4.93124425301,713.882704684,0.00678391915026,1.15465886617e-20,4.91384621724e-06,7466.73993433,True,B/L=0.39 exceeds 0.20; slender-body wave-resistance assumptions may be inaccurate;the offset grid represents only 90.2% of the metadata beam;max |dy/dx|=3.9 challenges thin-ship assumptions
0.275,2.79053633118,5.42436867831,927.799469987,0.00728656012464,1.09729824884e-20,5.67439246043e-06,7467.11519953,True,B/L=0.39 exceeds 0.20; slender-body wave-resistance assumptions may be inaccurate;the offset grid represents only 90.2% of the metadata beam;max |dy/dx|=3.9 challenges thin-ship assumptions
0.3,3.04422145219,5.91749310362,1514.35554883,0.00999353560602,1.55174744581e-20,5.9593411101e-06,7467.34772088,True,B/L=0.39 exceeds 0.20; slender-body wave-resistance assumptions may be inaccurate;the offset grid represents only 90.2% of the metadata beam;max |dy/dx|=3.9 challenges thin-ship assumptions
0.325,3.29790657321,6.41061752892,1403.55296908,0.00789216044379,1.45876123968e-20,6.0912784829e-06,7467.51978702,True,B/L=0.39 exceeds 0.20; slender-body wave-resistance assumptions may be inaccurate;the offset grid represents only 90.2% of the metadata beam;max |dy/dx|=3.9 challenges thin-ship assumptions
0.35,3.55159169423,6.90374195422,1414.87702895,0.00685987855852,2.01917377943e-20,5.77274939752e-06,7467.66833496,True,B/L=0.39 exceeds 0.20; slender-body wave-resistance assumptions may be inaccurate;the offset grid represents only 90.2% of the metadata beam;max |dy/dx|=3.9 challenges thin-ship assumptions
0.375,3.80527681524,7.39686637952,2099.33696289,0.00886652488612,1.74986552475e-20,6.2016542496e-06,7467.77537128,True,B/L=0.39 exceeds 0.20; slender-body wave-resistance assumptions may be inaccurate;the offset grid represents only 90.2% of the metadata beam;max |dy/dx|=3.9 challenges thin-ship assumptions
0.4,4.05896193626,7.88999080482,3266.21111215,0.0121243395269,3.76689955538e-20,5.31948685424e-06,7467.84314086,True,B/L=0.39 exceeds 0.20; slender-body wave-resistance assumptions may be inaccurate;the offset grid represents only 90.2% of the metadata beam;max |dy/dx|=3.9 challenges thin-ship assumptions
0.425,4.31264705728,8.38311523012,4554.03255304,0.0149744917529,4.45734370069e-20,4.68276753295e-06,7467.90448987,True,B/L=0.39 exceeds 0.20; slender-body wave-resistance assumptions may be inaccurate;the offset grid represents only 90.2% of the metadata beam;max |dy/dx|=3.9 challenges thin-ship assumptions
0.45,4.56633217829,8.87623965542,5728.44041283,0.0168013892193,2.26984953715e-20,4.65510612517e-06,7467.84450231,True,B/L=0.39 exceeds 0.20; slender-body wave-resistance assumptions may be inaccurate;the offset grid represents only 90.2% of the metadata beam;max |dy/dx|=3.9 challenges thin-ship assumptions
