station_index,point_index,x_m,z_m,half_breadth_m
0,0,-0.5,-0.0,0.0
0,1,-0.5,-0.0,0.0
0,2,-0.5,-0.0,0.0
0,3,-0.5,-0.0,0.0
0,4,-0.5,-0.0,0.0
0,5,-0.5,-0.0,0.0
0,6,-0.5,-0.0,0.0
0,7,-0.5,-0.0,0.0
0,8,-0.5,-0.0,0.0
0,9,-0.5,-0.0,0.0
0,10,-0.5,-0.0,0.0
0,11,-0.5,-0.0,0.0
0,12,-0.5,-0.0,0.0
0,13,-0.5,-0.0,0.0
0,14,-0.5,-0.0,0.0
0,15,-0.5,-0.0,0.0
0,16,-0.5,-0.0,0.0
0,17,-0.5,-0.0,0.0
0,18,-0.5,-0.0,0.0
0,19,-0.5,-0.0,0.0
0,20,-0.5,-0.0,0.0
0,21,-0.5,-0.0,0.0
0,22,-0.5,-0.0,0.0
0,23,-0.5,-0.0,0.0
0,24,-0.5,-0.0,0.0
0,25,-0.5,-0.0,0.0
0,26,-0.5,-0.0,0.0
0,27,-0.5,-0.0,0.0
0,28,-0.5,-0.0,0.0
0,29,-0.5,-0.0,0.0
0,30,-0.5,-0.0,0.0
0,31,-0.5,-0.0,0.0
0,32,-0.5,-0.0,0.0
0,33,-0.5,-0.0,0.0
0,34,-0.5,-0.0,0.0
0,35,-0.5,-0.0,0.0
0,36,-0.5,-0.0,0.0
0,37,-0.5,-0.0,0.0
0,38,-0.5,-0.0,0.0
0,39,-0.5,-0.0,0.0
0,40,-0.5,-0.0,0.0
1,0,-0.49961451812036145,-0.0,3.297248679527958e-05
1,1,-0.49961451812036145,-6.022213643638959e-08,3.297135678366717e-05
1,2,-0.49961451812036145,-2.4051725624853364e-07,3.296281938528095e-05
1,3,-0.49961451812036145,-5.397737800685833e-07,3.293863832114045e-05
1,4,-0.49961451812036145,-9.56146691914291e-07,3.289035043572515e-05
1,5,-0.49961451812036145,-1.487068914326086e-06,3.280955669509488e-05
1,6,-0.49961451812036145,-2.129267135253245e-06,3.2688118107975836e-05
1,7,-0.49961451812036145,-2.8787819891111744e-06,3.251831253444795e-05
1,8,-0.49961451812036145,-3.7309924675868602e-06,3.229296678595317e-05
1,9,-0.49961451812036145,-4.680644409691758e-06,3.200556958836332e-05
1,10,-0.49961451812036145,-5.721882895411472e-06,3.165036809046339e-05
1,11,-0.49961451812036145,-6.848288343234613e-06,3.122244945130823e-05
1,12,-0.49961451812036145,-8.052916089007527e-06,3.0717808524136e-05
1,13,-0.49961451812036145,-9.328339202098151e-06,3.0133402402706308e-05
1,14,-0.49961451812036145,-1.0666694274893057e-05,2.9467192466915707e-05
1,15,-0.49961451812036145,-1.2059729903320243e-05,2.871817449958945e-05
1,16,-0.49961451812036145,-1.3498857559499104e-05,2.788639741970181e-05
1,17,-0.49961451812036145,-1.4975204542870781e-05,2.6972971177304905e-05
1,18,-0.49961451812036145,-1.6479668683347608e-05,2.5980064376906284e-05
1,19,-0.49961451812036145,-1.8002974459218447e-05,2.4910892236836216e-05
1,20,-0.49961451812036145,-1.953573018382448e-05,2.3769695552069685e-05
1,21,-0.49961451812036145,-2.106848590843052e-05,2.2561711408358407e-05
1,22,-0.49961451812036145,-2.2591791684301355e-05,2.1293136499542664e-05
1,23,-0.49961451812036145,-2.4096255824778185e-05,1.9971084033243775e-05
1,24,-0.49961451812036145,-2.5572602808149868e-05,1.860353538231812e-05
1,25,-0.49961451812036145,-2.7011730464328723e-05,1.7199287866041235e-05
1,26,-0.49961451812036145,-2.840476609275591e-05,1.5767900351290993e-05
1,27,-0.49961451812036145,-2.9743121165550818e-05,1.4319638791533812e-05
1,28,-0.49961451812036145,-3.101854427864144e-05,1.286542443955169e-05
1,29,-0.49961451812036145,-3.222317202441435e-05,1.1416788397469874e-05
1,30,-0.49961451812036145,-3.33495774722375e-05,9.985837615269945e-06
1,31,-0.49961451812036145,-3.439081595795721e-05,8.585239804479596e-06
1,32,-0.49961451812036145,-3.534046790006211e-05,7.228238746768701e-06
1,33,-0.49961451812036145,-3.6192678378537794e-05,5.928718682328199e-06
1,34,-0.49961451812036145,-3.694219323239572e-05,4.701350229237983e-06
1,35,-0.49961451812036145,-3.7584391453322886e-05,3.5618786810943648e-06
1,36,-0.49961451812036145,-3.811531367573468e-05,2.527680156324755e-06
1,37,-0.49961451812036145,-3.853168658758038e-05,1.6188790682448996e-06
1,38,-0.49961451812036145,-3.883094311140044e-05,8.608505220926716e-07
1,39,-0.49961451812036145,-3.9011238231212585e-05,2.912467308229403e-07
