fn,speed_m_s,wave_resistance_N,c_wave_resistance,integral,quadrature_error,tail_fraction,cancellation_ratio,converged,validity_flags
0.1,0.6263114241333939,0.047831339994371246,9.993506672205045e-05,5.839530272765707e-10,1.1051654968978294e-22,0.000950053546427602,395207741.0984021,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.10500000000000001,0.6576269953400636,0.04435006380286717,8.404676652520323e-05,5.96950353215209e-10,1.0954831686879047e-22,0.0008941681398091069,213344269.2191781,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.11,0.6889425665467332,0.0671167727485425,0.00011589135863992665,9.914750785763113e-10,1.2671772553080482e-22,0.0005156459897245675,346494396.8255468,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.115,0.720258137753403,0.09895470134831719,0.00015633136166718077,1.5977082565765978e-09,1.7036768036992702e-22,0.0003065733486076516,168574969.6975821,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.12000000000000001,0.7515737089600727,0.12302745490235399,0.00017850274811332493,2.1628674174926874e-09,2.1185919260317724e-22,0.00021385701595291477,104795781.67581676,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.125,0.7828892801667423,0.12881185298995168,0.00017224283325075677,2.4572040368641773e-09,1.9259824634783842e-22,0.00017587433010358492,93013781.42106763,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.13,0.814204851373412,0.13698554182863806,0.00016935319180200607,2.826355605596498e-09,1.814390661964084e-22,0.00014345408770234842,46881116.30837532,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.135,0.8455204225800818,0.2450401949505989,0.00028091514325785156,5.452180594882736e-09,2.1262021977913264e-22,7.838955404810324e-05,47202024.825130895,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.14,0.8768359937867515,0.2562857618619979,0.00027319564180932726,6.132618052294231e-09,2.255557996241184e-22,6.375348438039194e-05,61670660.57139632,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.14500000000000002,0.9081515649934212,0.28618797458198314,0.0002843942003301359,7.346030919142051e-09,2.6331683882313823e-22,4.9669844073936426e-05,56813233.97559288,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.15000000000000002,0.9394671362000909,0.3895034937889315,0.0003616880819130934,1.0699395517857775e-08,2.722401416738651e-22,3.485652796085579e-05,64840740.68311589,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.155,0.9707827074067604,0.43664346412904365,0.00037972476889019713,1.2807245265943345e-08,2.8237007318767857e-22,3.0094653242270637e-05,152767841.78467488,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.16,1.0020982786134303,0.42539055407669707,0.0003471788303572532,1.3295147925071183e-08,2.759127728789905e-22,2.6287899096642482e-05,355409346.6504542,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
